id;i_18_n;icon;target;enabled
1;generating;Bayern Fish;JBOD Myanmar;true
2;Checking Senior black;Wooden calculating payment;infomediaries Forks;true
3;salmon violet Iran;Cheese virtual;Bahrain array;true
4;Handmade;FTP Creative;Refined whiteboard;false
5;Directives Representative Cambridgeshire;Cliff National client-driven;demand-driven viral;false
6;applications Knolls;Networked conglomeration;Applications Coordinator viral;false
7;24/7;navigating Pound best-of-breed;Garden;false
8;invoice Grenada Supervisor;olive SDD;index;false
9;Loan;Cambridgeshire;JBOD Home Intranet;false
10;mobile productivity;Home Concrete markets;Rheinland-Pfalz;false
